ticket,strategy,symbol,type,volume,profit,open_price,close_price,open_time,close_time,comment,raw_magic,canonical_magic,build_id
57513445763,MANUAL,XAUUSD,BUY,0.2,-86.8,4270.93,4275.27,2026-08-07T08:47:38+00:00,2026-08-07T08:47:38+00:00,[sl 4275.27],0,0,FER3ON-FINAL-build1
57513540481,MANUAL,XAUUSD,BUY,0.1,27.2,4278.11,4275.39,2026-08-07T08:53:50+00:00,2026-08-07T08:53:50+00:00,,0,0,FER3ON-FINAL-build1
57513550541,SMC,XAUUSD,BUY,0.01,-7.73,4268.24,4275.97,2026-08-07T08:54:32+00:00,2026-08-07T08:54:32+00:00,,0,0,FER3ON-FINAL-build1
57513552489,MANUAL,XAUUSD,BUY,0.1,-31.8,4273.49,4276.67,2026-08-07T08:54:44+00:00,2026-08-07T08:54:44+00:00,[sl 4276.67],0,0,FER3ON-FINAL-build1
57513605034,MANUAL,XAUUSD,BUY,0.1,-18.4,4278.43,4280.27,2026-08-07T08:57:59+00:00,2026-08-07T08:57:59+00:00,[sl 4280.27],0,0,FER3ON-FINAL-build1
57513684687,MANUAL,XAUUSD,BUY,0.1,-23.8,4278.34,4280.72,2026-08-07T09:04:04+00:00,2026-08-07T09:04:04+00:00,[sl 4280.72],0,0,FER3ON-FINAL-build1
57513860118,MANUAL,XAUUSD,BUY,0.1,-94.8,4281.49,4290.97,2026-08-07T09:12:37+00:00,2026-08-07T09:12:37+00:00,[sl 4290.97],0,0,FER3ON-FINAL-build1
57513950167,MANUAL,XAUUSD,BUY,0.1,-22.0,4286.1,4288.3,2026-08-07T09:18:01+00:00,2026-08-07T09:18:01+00:00,[sl 4288.30],0,0,FER3ON-FINAL-build1
57514158646,MANUAL,XAUUSD,BUY,0.1,7.8,4283.99,4283.21,2026-08-07T09:31:24+00:00,2026-08-07T09:31:24+00:00,,0,0,FER3ON-FINAL-build1
57515058868,MANUAL,XAUUSD,BUY,0.1,51.3,4291.47,4286.34,2026-08-07T10:29:14+00:00,2026-08-07T10:29:14+00:00,,0,0,FER3ON-FINAL-build1
57515879121,MANUAL,XAUUSD,BUY,0.1,2.8,4295.51,4295.23,2026-08-07T11:25:13+00:00,2026-08-07T11:25:13+00:00,,0,0,FER3ON-FINAL-build1
57515954919,MANUAL,XAUUSD,BUY,0.1,-46.9,4293.66,4298.35,2026-08-07T11:31:10+00:00,2026-08-07T11:31:10+00:00,[sl 4298.35],0,0,FER3ON-FINAL-build1
57516029520,MANUAL,XAUUSD,BUY,0.1,-78.2,4299.72,4307.54,2026-08-07T11:33:56+00:00,2026-08-07T11:33:56+00:00,[sl 4307.54],0,0,FER3ON-FINAL-build1
57516035926,SMC,XAUUSD,BUY,0.01,-30.0,4282.02,4312.02,2026-08-07T11:33:57+00:00,2026-08-07T11:33:57+00:00,[sl 4312.02],4001,4001,FER3ON-FINAL-build1
57516035928,MICRO,XAUUSD,BUY,0.02,-60.76,4281.64,4312.02,2026-08-07T11:33:57+00:00,2026-08-07T11:33:57+00:00,[sl 4312.02],5001,5001,FER3ON-FINAL-build1
57516165694,MANUAL,XAUUSD,SELL,0.1,-49.5,4313.45,4308.5,2026-08-07T11:35:54+00:00,2026-08-07T11:35:54+00:00,,0,0,FER3ON-FINAL-build1
57516217510,MANUAL,XAUUSD,BUY,0.1,58.4,4308.25,4302.41,2026-08-07T11:37:47+00:00,2026-08-07T11:37:47+00:00,,0,0,FER3ON-FINAL-build1
57517870680,MANUAL,XAUUSD,BUY,0.1,-3.7,4312.34,4312.71,2026-08-07T13:20:36+00:00,2026-08-07T13:20:36+00:00,,0,0,FER3ON-FINAL-build1
57520976789,MANUAL,XAUUSD,SELL,0.1,301.1,4318.66,4348.77,2026-08-07T15:31:13+00:00,2026-08-07T15:31:13+00:00,,0,0,FER3ON-FINAL-build1
57522288075,MANUAL,XAUUSD,BUY,0.05,33.75,4365.13,4358.38,2026-08-07T15:57:47+00:00,2026-08-07T15:57:47+00:00,,0,0,FER3ON-FINAL-build1
